application_id,vae_reconstruction_prob,rule_violation_score,rule_codes_fired,lgbm_risk_score,top_shap_features
BR202526000015515,0.97308743,0.0,,0.6670786515664425,"x_university_id,permanent_pincode,xii_university_id"
MH202526000015476,0.97495234,0.0,,0.00022591634397659512,"x_course_year,competitive_exam_year,age_at_registration"
BR202526000015583,0.9733694,0.0,,0.4876028074161187,"x_university_id,permanent_pincode,xii_university_id"
AS202526000015656,0.95065475,0.0,,0.001098917687234871,"c_institution_id,x_course_year,xii_university_id"
BR202526000015785,0.9865843,0.0,,0.06570258164685283,"x_university_id,xii_university_id,permanent_pincode"
BR202526000016002,0.9789195,0.0,,0.8004838946639,"x_university_id,permanent_pincode,xii_university_id"
UP202526000016137,0.9427391,3.0,"X1,X1_FLAG",0.9989708934307122,"flag_prematric_age_over20,age_at_registration,vae_reconstruction_prob"
AS202526000016212,0.94708395,0.0,,0.0058921775807263465,"x_course_year,name_similarity_score,ip_to_mobile_ratio"
AS202526000016595,0.9520246,0.0,,0.01454382702124088,"x_course_year,xii_university_id,flag_income_below_20000"
AS202526000016610,0.9776966,2.0,X9,0.7659443109917263,"x_course_year,aadhaar_vault_ref_token,x_percentage"
KA202526000016710,0.95866746,0.0,,0.0026788284071011447,"x_course_year,permanent_pincode,xii_university_id"
AS202526000016722,0.93429637,0.0,,0.006109223709956777,"x_course_year,xii_university_id,age_at_registration"
BR202526000016747,0.97411585,0.0,,0.0038236698423685894,"x_university_id,x_course_year,xii_university_id"
KA202526000016812,0.95121324,0.0,,0.0005625719144308587,"xii_percentage,x_course_year,competitive_exam_state"
KA202526000016801,0.9612503,0.0,,0.017464934352925808,"x_course_year,entitled_lumpsump_amount,permanent_pincode"
BR202526000016882,0.981949,0.0,,0.7908801195354882,"x_university_id,xii_university_id,x_course_year"
UP202526000007829,0.9771552,0.0,,0.00023860692976627,"x_course_year,xii_university_id,permanent_pincode"
AS202526000007850,0.97286195,0.0,,0.021804676234494034,"x_course_year,xii_university_id,mobile_no"
AS202526000007903,0.97741383,0.0,,0.0014393621608407602,"x_university_id,annual_family_income,age_at_registration"
WB202526000008002,0.959753,0.0,,0.005681085750170982,"x_course_year,tution_fee,age_at_registration"
BR202526000008106,0.97044605,0.0,,0.300882326298527,"x_university_id,xii_university_id,x_course_year"
AS202526000008124,0.9823176,0.0,,0.0009756785409613332,"x_university_id,flag_income_below_20000,vae_reconstruction_prob"
BR202526000008177,0.9783286,0.0,,0.01525669375777629,"x_university_id,x_course_year,xii_university_id"
WB202526000008195,0.9850385,0.0,,0.00012142742596072898,"x_course_year,competitive_exam_year,x_university_id"
PB202526000008325,0.9667416,0.0,,0.0004665934152009932,"x_course_year,permanent_pincode,age_at_registration"
AS202526000008369,0.9649016,8.0,"YK_YL,UN,YK_AGG,UN_AGG",0.9999233062750525,"mobile_unique_fathers_count,ip_to_mobile_ratio,mobile_no"
PB202526000008334,0.9434554,3.0,"X1,X1_FLAG",0.9985298087828648,"flag_prematric_age_over20,age_at_registration,vae_reconstruction_prob"
KL202526000534775,0.98202085,0.0,,0.000524806954012555,"x_course_year,age_at_registration,x_university_id"
AS202526000008489,0.9808495,0.0,,0.00040669833745420904,"annual_family_income,x_course_year,x_university_id"
BR202526000008802,0.9881065,0.0,,0.002112619069735401,"admission_fee,x_university_id,xii_university_id"
AS202526000008775,0.9750943,0.0,,0.030992632083185635,"x_course_year,annual_family_income,mobile_no"
KA202526000008948,0.9485983,0.0,,0.0003919596347259741,"tution_fee,x_course_year,name_similarity_score"
AS202526000008961,0.9813937,0.0,,0.00024037450861455253,"annual_family_income,xii_percentage,x_course_year"
AS202526000008931,0.97876465,0.0,,0.00016913235982137038,"annual_family_income,tution_fee,vae_reconstruction_prob"
JK202526000008935,0.90988576,0.0,,8.622338034322202e-05,"c_course_year,c_institution_id,lgd_district_code"
AS202526000008966,0.97582304,0.0,,0.0019805757916348606,"x_course_year,x_university_id,institute_application_count"
AS202526000008987,0.99052006,0.0,,0.0021509014662491385,"vae_reconstruction_prob,x_university_id,permanent_pincode"
AS202526000009005,0.9598537,1.0,UW,0.9998765686536648,"flag_income_below_20000,x_course_year,vae_reconstruction_prob"
MN202526000009066,0.9639044,0.0,,0.0008898710079943829,"x_university_id,x_course_year,mobile_no"
RJ202526000009081,0.97367924,0.0,,0.0012138224274811777,"permanent_pincode,name_similarity_score,x_course_year"
AS202526000009229,0.9711065,0.0,,0.0034797421297057206,"mobile_no,x_course_year,institute_application_count"
